thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,up,0,0.11434210000152234,None,3,0,0,0,0,0.006330500000331085,,0.0028707000019494444,0.006330500000331085,1.036137700000836,1.0389786000014283,1.1721199999956298,up,0,0.11434210000152234,None,3,355796,001,2024-09-13_11h57.49.104,Signal detection,2024.2.1post4,60.016300427299555,2024-09-13 11h57.53.524962 +0530,
1,0,1,up,0,0.2941235999969649,None,-5,1,0,1,0,1.1824168999955873,,1.1725366000027861,1.1824168999955873,2.1825164999972912,2.1825164999972912,2.4854993999979342,up,0,0.2941235999969649,None,-5,355796,001,2024-09-13_11h57.49.104,Signal detection,2024.2.1post4,60.016300427299555,2024-09-13 11h57.53.524962 +0530,
2,0,2,down,1,0.12125039999955334,None,3,2,0,2,0,2.4990863999992143,,2.4862758000017493,2.4990863999992143,3.4992912000016076,3.4992912000016076,3.6354549000025145,down,1,0.12125039999955334,None,3,355796,001,2024-09-13_11h57.49.104,Signal detection,2024.2.1post4,60.016300427299555,2024-09-13 11h57.53.524962 +0530,
3,0,3,up,0,0.1455394000004162,None,4,3,0,3,0,3.648992800000997,,3.6362315000005765,3.648992800000997,4.649085500001092,4.649085500001092,4.801279799998156,up,0,0.1455394000004162,None,4,355796,001,2024-09-13_11h57.49.104,Signal detection,2024.2.1post4,60.016300427299555,2024-09-13 11h57.53.524962 +0530,
4,0,4,down,1,None,None,-2,4,0,4,0,4.815566799996304,,4.801803599999403,4.815566799996304,5.815764500002842,5.815764500002842,5.984247699998377,down,1,None,None,-2,355796,001,2024-09-13_11h57.49.104,Signal detection,2024.2.1post4,60.016300427299555,2024-09-13 11h57.53.524962 +0530,
5,0,5,up,0,0.4332630999997491,None,4,5,0,5,0,5.998817499996221,,5.9847936000005575,5.998817499996221,6.998833999998169,6.998833999998169,7.433303699996031,up,0,0.4332630999997491,None,4,355796,001,2024-09-13_11h57.49.104,Signal detection,2024.2.1post4,60.016300427299555,2024-09-13 11h57.53.524962 +0530,
6,0,6,up,1,0.2318788999982644,None,0,6,0,6,0,7.448881299998902,,7.433539899997413,7.448881299998902,8.432100400001218,8.448847200001183,8.667999899997085,up,1,0.2318788999982644,None,0,355796,001,2024-09-13_11h57.49.104,Signal detection,2024.2.1post4,60.016300427299555,2024-09-13 11h57.53.524962 +0530,
7,0,7,up,0,0.6364983000021311,None,1,7,0,7,0,8.68213509999623,,8.668704700001399,8.68213509999623,9.682010299999092,9.682010299999092,10.333153300001868,up,0,0.6364983000021311,None,1,355796,001,2024-09-13_11h57.49.104,Signal detection,2024.2.1post4,60.016300427299555,2024-09-13 11h57.53.524962 +0530,
8,0,8,up,0,0.374554399997578,None,1,8,0,8,0,10.348624899997958,,10.333543599997938,10.348624899997958,11.348578500001167,11.348578500001167,11.734594599998672,up,0,0.374554399997578,None,1,355796,001,2024-09-13_11h57.49.104,Signal detection,2024.2.1post4,60.016300427299555,2024-09-13 11h57.53.524962 +0530,
9,0,9,up,0,0.4133036999992328,None,-5,9,0,9,0,11.748556200000166,,11.735214699998323,11.748556200000166,12.748489199999312,12.748489199999312,13.167089399998076,up,0,0.4133036999992328,None,-5,355796,001,2024-09-13_11h57.49.104,Signal detection,2024.2.1post4,60.016300427299555,2024-09-13 11h57.53.524962 +0530,
